Model 1:
Done. Indexed samples: 1000000
epoch 1 | val mse: 0.0555129
epoch 2 | val mse: 0.0451356
epoch 3 | val mse: 0.038534
epoch 4 | val mse: 0.0357457
epoch 5 | val mse: 0.0328824
epoch 6 | val mse: 0.0310056
epoch 7 | val mse: 0.0296838
epoch 8 | val mse: 0.0284407
epoch 9 | val mse: 0.027908
epoch 10 | val mse: 0.0269155
epoch 11 | val mse: 0.026905
epoch 12 | val mse: 0.0267468
epoch 13 | val mse: 0.0265145
epoch 14 | val mse: 0.0261602
epoch 15 | val mse: 0.0260746
epoch 16 | val mse: 0.0264797
epoch 17 | val mse: 0.0265386
epoch 18 | val mse: 0.0251784
epoch 19 | val mse: 0.0251517
epoch 20 | val mse: 0.0251425
epoch 21 | val mse: 0.0247927
epoch 22 | val mse: 0.0244792
epoch 23 | val mse: 0.0248458
epoch 24 | val mse: 0.0247158

Model 2:
Indexing offsets...
Done. Indexed samples: 7625665
epoch 1 | val mse: 0.0374709
epoch 2 | val mse: 0.0321799
epoch 3 | val mse: 0.0311853
epoch 4 | val mse: 0.031602
epoch 5 | val mse: 0.0298081
epoch 6 | val mse: 0.0288227
epoch 7 | val mse: 0.0286257
epoch 8 | val mse: 0.0285893
epoch 9 | val mse: 0.0273965
epoch 10 | val mse: 0.0274535
epoch 11 | val mse: 0.0269618
epoch 12 | val mse: 0.0269797
epoch 13 | val mse: 0.0270675
epoch 14 | val mse: 0.0264533
epoch 15 | val mse: 0.0277645
epoch 16 | val mse: 0.0269689
epoch 17 | val mse: 0.026244
epoch 18 | val mse: 0.0263937
epoch 19 | val mse: 0.0264099
epoch 20 | val mse: 0.0268032
epoch 21 | val mse: 0.0256398
epoch 22 | val mse: 0.0257024
epoch 23 | val mse: 0.0257646
epoch 24 | val mse: 0.0258998
epoch 25 | val mse: 0.025914
epoch 26 | val mse: 0.0257271
epoch 27 | val mse: 0.0257701
epoch 28 | val mse: 0.025997
epoch 29 | val mse: 0.0253319
epoch 30 | val mse: 0.0264918
epoch 31 | val mse: 0.0252604
epoch 32 | val mse: 0.0257619
epoch 33 | val mse: 0.0254547
epoch 34 | val mse: 0.0253312
epoch 35 | val mse: 0.0250628
epoch 36 | val mse: 0.0256154
epoch 37 | val mse: 0.025292
epoch 38 | val mse: 0.0248838
epoch 39 | val mse: 0.0254093
epoch 40 | val mse: 0.0252463
epoch 41 | val mse: 0.02518
epoch 42 | val mse: 0.024828
epoch 43 | val mse: 0.0253385
epoch 44 | val mse: 0.0248348
epoch 45 | val mse: 0.0251929
epoch 46 | val mse: 0.0249724
epoch 47 | val mse: 0.0248338
epoch 48 | val mse: 0.0246683
epoch 49 | val mse: 0.0245424
epoch 50 | val mse: 0.0250419
epoch 51 | val mse: 0.0247623
epoch 52 | val mse: 0.0250866
epoch 53 | val mse: 0.0246476
epoch 54 | val mse: 0.0252038
epoch 55 | val mse: 0.024777
epoch 56 | val mse: 0.024488
epoch 57 | val mse: 0.0245088
epoch 58 | val mse: 0.0250897
epoch 59 | val mse: 0.024834
epoch 60 | val mse: 0.0245803
epoch 61 | val mse: 0.0243143
epoch 62 | val mse: 0.024463
epoch 63 | val mse: 0.0242529
epoch 64 | val mse: 0.024899
epoch 65 | val mse: 0.0247791
epoch 66 | val mse: 0.0243602
epoch 67 | val mse: 0.0245501
epoch 68 | val mse: 0.0242753
epoch 69 | val mse: 0.025482
epoch 70 | val mse: 0.0242513
epoch 71 | val mse: 0.0242113
epoch 72 | val mse: 0.0246643
epoch 73 | val mse: 0.0247682
epoch 74 | val mse: 0.0244848
epoch 75 | val mse: 0.0242081
epoch 76 | val mse: 0.0241829
epoch 77 | val mse: 0.0242962
epoch 78 | val mse: 0.0246603
epoch 79 | val mse: 0.0241207
epoch 80 | val mse: 0.0241786
epoch 81 | val mse: 0.0239948
epoch 82 | val mse: 0.0242128
epoch 83 | val mse: 0.0244056
epoch 84 | val mse: 0.0241162
epoch 85 | val mse: 0.0246178
epoch 86 | val mse: 0.024167
epoch 87 | val mse: 0.0241865
epoch 88 | val mse: 0.0240228
epoch 89 | val mse: 0.0243663
epoch 90 | val mse: 0.0245338
epoch 91 | val mse: 0.0241917
epoch 92 | val mse: 0.0241835
epoch 93 | val mse: 0.0240296
epoch 94 | val mse: 0.0245703
epoch 95 | val mse: 0.0240337
epoch 96 | val mse: 0.023934
epoch 97 | val mse: 0.0240972
epoch 98 | val mse: 0.0240369
epoch 99 | val mse: 0.0240956
epoch 100 | val mse: 0.0239252
epoch 101 | val mse: 0.023847
epoch 102 | val mse: 0.0239226
epoch 103 | val mse: 0.023912
epoch 104 | val mse: 0.0239867
epoch 105 | val mse: 0.0238996
epoch 106 | val mse: 0.0239001
epoch 107 | val mse: 0.0239723
epoch 108 | val mse: 0.0239528
epoch 109 | val mse: 0.0240976
epoch 110 | val mse: 0.0240015
epoch 111 | val mse: 0.0238503
epoch 112 | val mse: 0.0239633
epoch 113 | val mse: 0.0241352
epoch 114 | val mse: 0.0241084
epoch 115 | val mse: 0.0241435
epoch 116 | val mse: 0.0241569
epoch 117 | val mse: 0.0239761
epoch 118 | val mse: 0.0242546
epoch 119 | val mse: 0.0238418
epoch 120 | val mse: 0.0240746
epoch 121 | val mse: 0.0238582
epoch 122 | val mse: 0.0237648
epoch 123 | val mse: 0.023724
epoch 124 | val mse: 0.0238652
epoch 125 | val mse: 0.024085
epoch 126 | val mse: 0.0240108
epoch 127 | val mse: 0.0237614
epoch 128 | val mse: 0.0237724
epoch 129 | val mse: 0.0238808
epoch 130 | val mse: 0.0238678
epoch 131 | val mse: 0.0241448
epoch 132 | val mse: 0.0242433
epoch 133 | val mse: 0.0237617
epoch 134 | val mse: 0.0237851
epoch 135 | val mse: 0.0235608
epoch 136 | val mse: 0.0237551
